Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
LBTYB,Liberty Global plc Class B Ordinary Shares,$25.15,0.00,0.00%,14665119849.00,United Kingdom,,216,Consumer Services,Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$23.71,0.49,2.11%,13825446982.00,United Kingdom,,3101341,,
LI,Li Auto Inc. American Depositary Shares,$30.56,-0.73,-2.333%,27430477377.00,China,2020,14640300,Capital Goods,Auto Manufacturing
LKQ,LKQ Corporation Common Stock,$36.25,0.27,0.75%,11032516400.00,United States,,1258892,Consumer Services,Motor Vehicles
LNT,Alliant Energy Corporation Common Stock,$49.54,-0.635,-1.266%,12373143245.00,United States,,1005314,Public Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$93.81,-1.21,-1.273%,15867927916.00,United States,1997,324183,Technology,Computer peripheral equipment
LRCX,Lam Research Corporation Common Stock,$471.13,-5.82,-1.22%,67847063819.00,United States,1984,720458,Technology,Industrial Machinery/Components
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$42.57,0.29,0.686%,14489339838.00,United States,,394926,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$43.3701,0.00,0.00%,14761665908.00,United States,,21,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$42.68,0.23,0.542%,14526779993.00,United States,,283982,Consumer Services,Broadcasting
LULU,lululemon athletica inc. Common Stock,$355.13,-4.94,-1.372%,46286949921.00,Canada,2007,1347052,Consumer Non-Durables,Apparel
LYFT,Lyft Inc. Class A Common Stock,$50.07,0.56,1.131%,15898378112.00,United States,2019,5988055,Miscellaneous,Business Services
MAR,Marriott International Class A Common Stock,$128.61,2.35,1.861%,41712301995.00,United States,,1623774,Consumer Services,Hotels/Resorts
MASI,Masimo Corporation Common Stock,$265.49,-1.10,-0.413%,14616610092.00,United States,2007,145448,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MCHP,Microchip Technology Incorporated Common Stock,$136.00,-0.95,-0.694%,36563029072.00,United States,1993,1057337,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$376.22,-19.78,-4.995%,22673394158.00,United States,2017,1501583,Technology,Computer Software: Prepackaged Software
MDLZ,Mondelez International Inc. Class A Common Stock,$57.35,0.19,0.332%,82019834458.00,United States,,4273378,Consumer Non-Durables,Packaged Foods
MELI,MercadoLibre Inc. Common Stock,$1670.01,-62.38,-3.601%,83127441476.00,Argentina,2007,419160,Miscellaneous,Business Services
MKTX,MarketAxess Holdings Inc. Common Stock,$572.97,-17.35,-2.939%,21751936282.00,United States,2004,179194,Finance,Investment Bankers/Brokers/Service
MNST,Monster Beverage Corporation,$88.94,0.67,0.759%,46952916368.00,United States,,1416000,Consumer Non-Durables,Beverages (Production/Distribution)
MPWR,Monolithic Power Systems Inc. Common Stock,$353.89,-0.17,-0.048%,15959377330.00,United States,2004,431150,Technology,Semiconductors
MRNA,Moderna Inc. Common Stock,$130.34,4.46,3.543%,51576855086.00,United States,2018,41872870,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRTX,Mirati Therapeutics Inc. Common Stock,$236.80,-1.33,-0.559%,11906559981.00,United States,,280710,Health Care,Major Pharmaceuticals
MRVL,Marvell Technology Group Ltd. Common Stock,$46.41,-0.74,-1.569%,31178238000.00,Bermuda,2000,5695629,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$221.02,-2.92,-1.304%,1671020819068.00,United States,1986,18693133,Technology,Computer Software: Prepackaged Software
MTCH,Match Group Inc. Common Stock,$153.39,-2.73,-1.749%,40799169797.00,United States,,1090343,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,$69.95,-0.49,-0.696%,78127763635.00,United States,,8513293,Technology,Semiconductors
MXIM,Maxim Integrated Products Inc. Common Stock,$85.82,-0.59,-0.683%,22939788555.00,United States,1988,1563802,Technology,Semiconductors
NDAQ,Nasdaq Inc. Common Stock,$127.95,-1.95,-1.501%,20988610536.00,United States,,493145,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,$198.35,-0.29,-0.146%,11523041496.00,United States,,128724,Capital Goods,Industrial Machinery/Components
NFLX,Netflix Inc. Common Stock,$514.48,-12.85,-2.437%,227294695716.00,United States,2002,2389681,Consumer Services,Consumer Electronics/Video Chains
NICE,NICE Ltd American Depositary Shares,$277.41,0.81,0.293%,17402566788.00,Israel,,181386,Technology,Computer Software: Prepackaged Software
NLOK,NortonLifeLock Inc. Common Stock,$20.96,-0.38,-1.781%,12405586208.00,United States,,4406872,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$66.17,-0.01,-0.015%,14781374664.00,United States,1995,1421222,Technology,Electronic Components
NTES,NetEase Inc. American Depositary Shares,$92.58,0.08,0.086%,63460635865.00,China,,904039,Miscellaneous,Business Services
NTRS,Northern Trust Corporation Common Stock,$91.99,1.39,1.534%,19145072224.00,United States,,589950,Finance,Major Banks
NUAN,Nuance Communications Inc. Common Stock,$43.53,-0.46,-1.046%,12401548476.00,United States,,1444191,Technology,Computer Software: Prepackaged Software
NVCR,NovoCure Limited Ordinary Shares,$170.72,-0.28,-0.164%,17378824984.00,Jersey,2015,554797,Health Care,Medical/Dental Instruments
NVDA,NVIDIA Corporation Common Stock,$520.37,-10.76,-2.026%,322109030000.00,United States,1999,4467719,Technology,Semiconductors
NWS,News Corporation Class B Common Stock,$17.50,-0.02,-0.114%,10335244885.00,United States,,2605599,Consumer Services,Newspapers/Magazines
NWSA,News Corporation Class A Common Stock,$17.685,0.045,0.255%,10444503188.00,United States,,3008327,Consumer Services,Newspapers/Magazines
NXPI,NXP Semiconductors N.V. Common Stock,$156.86,0.48,0.307%,43881521315.00,Netherlands,2010,1571273,Technology,Semiconductors
ODFL,Old Dominion Freight Line Inc. Common Stock,$196.83,-1.83,-0.921%,23094348713.00,United States,1991,347554,Transportation,Trucking Freight/Courier Services
OKTA,Okta Inc. Class A Common Stock,$272.52,-13.08,-4.58%,35282096667.00,United States,2017,1668348,Technology,Computer Software: Prepackaged Software
OLED,Universal Display Corporation Common Stock,$234.02,-4.17,-1.751%,11023372390.00,United States,,221289,Capital Goods,Electrical Products
ON,ON Semiconductor Corporation Common Stock,$31.80,-0.05,-0.157%,13076908318.00,United States,,3794164,Technology,Semiconductors
ORLY,O'Reilly Automotive Inc. Common Stock,$457.93,4.54,1.001%,33176304513.00,United States,1993,370833,Consumer Services,Other Specialty Stores
OTEX,Open Text Corporation Common Shares,$45.13,-0.29,-0.638%,12292306225.00,Canada,1996,426334,Technology,EDP Services
PAYX,Paychex Inc. Common Stock,$94.40,-2.23,-2.308%,33936829925.00,United States,1983,3367391,Consumer Services,Diversified Commercial Services
PCAR,PACCAR Inc. Common Stock,$85.09,0.22,0.259%,29478562752.00,United States,,951376,Capital Goods,Auto Manufacturing
PCTY,Paylocity Holding Corporation Common Stock,$214.88,2.08,0.977%,11656320099.00,United States,2014,304485,Technology,Computer Software: Prepackaged Software
PDD,Pinduoduo Inc. American Depositary Shares,$140.25,1.23,0.885%,171992259368.00,China,2018,5719087,Miscellaneous,Business Services
PEGA,Pegasystems Inc. Common Stock,$139.82,2.75,2.006%,11283151855.00,United States,1996,396549,Technology,EDP Services
PENN,Penn National Gaming Inc. Common Stock,$96.09,0.37,0.387%,14925111507.00,United States,1994,4432686,Consumer Services,Hotels/Resorts
PEP,PepsiCo Inc. Common Stock,$144.41,0.39,0.271%,199568335999.00,United States,,2645114,Consumer Non-Durables,Beverages (Production/Distribution)
PFG,Principal Financial Group Inc Common Stock,$48.54,1.14,2.405%,13335303624.00,United States,2001,914474,Finance,Accident &Health Insurance
PLUG,Plug Power Inc. Common Stock,$36.14,0.45,1.261%,15019722128.00,United States,1999,40131010,Energy,Industrial Machinery/Components
PODD,Insulet Corporation Common Stock,$260.98,6.52,2.562%,17205855774.00,United States,2007,570450,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$365.52,-4.21,-1.139%,14678764893.00,United States,1995,138870,Consumer Durables,Industrial Specialties
PPD,PPD Inc. Common Stock,$35.33,-0.66,-1.834%,12353291683.00,United States,2020,580603,Health Care,Biotechnology: Commercial Physical & Biological Resarch
PTC,PTC Inc. Common Stock,$119.17,-0.85,-0.708%,13902702063.00,United States,,392551,Technology,Computer Software: Prepackaged Software
PTON,Peloton Interactive Inc. Class A Common Stock,$162.76,1.55,0.961%,47612577493.00,United States,2019,12854785,Energy,Consumer Electronics/Appliances
PYPL,PayPal Holdings Inc. Common Stock,$239.44,-4.05,-1.663%,280549886747.00,United States,,6414340,Miscellaneous,Business Services
QCOM,QUALCOMM Incorporated Common Stock,$146.96,0.62,0.424%,166211760000.00,United States,1991,5182379,Technology,Radio And Television Broadcasting And Communications Equipment
QRVO,Qorvo Inc. Common Stock,$165.10,1.84,1.127%,18830332240.00,United States,,1570475,Technology,Semiconductors
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,$177.39,4.39,2.538%,11735377007.00,United States,2014,312979,Health Care,Major Pharmaceuticals
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$492.19,2.13,0.435%,52519756078.00,United States,1991,545669,Health Care,Major Pharmaceuticals
RGEN,Repligen Corporation Common Stock,$196.92,2.81,1.448%,10774923036.00,United States,1986,536456,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ROKU,Roku Inc. Class A Common Stock,$360.56,5.85,1.649%,45766411544.00,United States,2017,3774949,Consumer Services,Television Services
ROST,Ross Stores Inc. Common Stock,$118.14,1.40,1.199%,42112550870.00,United States,1985,961826,Consumer Services,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$48.61,0.29,0.60%,30392935844.00,United States,2020,1750668,Health Care,Major Pharmaceuticals
RUN,Sunrun Inc. Common Stock,$69.87,0.60,0.866%,13801452122.00,United States,2015,4604425,Capital Goods,Industrial Specialties
RYAAY,Ryanair Holdings plc American Depositary Shares,$108.49,4.29,4.117%,24445987148.00,Ireland,1997,328927,Transportation,Air Freight/Delivery Services
SBAC,SBA Communications Corporation Class A Common Stock,$272.98,-2.94,-1.066%,30312518140.00,United States,1999,527834,Consumer Services,Real Estate Investment Trusts
SBUX,Starbucks Corporation Common Stock,$102.06,-0.35,-0.342%,119787822000.00,United States,1992,3816062,Consumer Services,Restaurants
SEDG,SolarEdge Technologies Inc. Common Stock,$323.98,1.46,0.453%,16591470020.00,Israel,2015,831247,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,$191.19,-5.72,-2.905%,34222363778.00,United States,2001,881928,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIRI,Sirius XM Holdings Inc. Common Stock,$6.27,0.00,0.00%,26644374079.00,United States,,18907932,Consumer Services,Broadcasting
SIVB,SVB Financial Group Common Stock,$377.52,9.32,2.531%,19554366443.00,United States,,299081,Finance,Major Banks
SNPS,Synopsys Inc. Common Stock,$254.70,-3.35,-1.298%,38977376986.00,United States,1992,545499,Technology,Computer Software: Prepackaged Software
SNY,Sanofi ADR,$47.58,-0.23,-0.481%,119430324287.00,France,,656538,Health Care,Major Pharmaceuticals
SPLK,Splunk Inc. Common Stock,$182.55,5.55,3.136%,29522139525.00,United States,2012,3294432,Technology,Computer Software: Prepackaged Software
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$178.06,-0.68,-0.38%,14051256793.00,United States,,792490,Health Care,Major Pharmaceuticals
SSNC,SS&C Technologies Holdings Inc. Common Stock,$71.48,0.02,0.028%,18296353111.00,United States,2010,600586,Technology,Computer Software: Prepackaged Software
STNE,StoneCo Ltd. Class A Common Shares,$84.13,-1.41,-1.648%,25928156700.00,Brazil,2018,2267966,Technology,EDP Services
STX,Seagate Technology PLC Ordinary Shares (Ireland),$63.03,-0.68,-1.067%,16194439781.00,Ireland,2002,1457755,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$150.74,1.31,0.877%,25035158473.00,United States,,1430788,Technology,Semiconductors
TCOM,Trip.com Group Limited American Depositary Shares,$32.63,-0.32,-0.971%,19351865747.00,China,,2741992,Miscellaneous,Business Services
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$240.88,-6.13,-2.482%,60027771497.00,United Kingdom,2015,1468664,Technology,Computer Software: Prepackaged Software
TECH,Bio-Techne Corp Common Stock,$320.06,-0.50,-0.156%,12357294798.00,United States,,119162,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TER,Teradyne Inc. Common Stock,$117.26,-1.31,-1.105%,19471706274.00,United States,,928378,Capital Goods,Electrical Products
TMUS,T-Mobile US Inc. Common Stock,$132.23,-0.02,-0.015%,164122127390.00,United States,,2152327,Public Utilities,Telecommunications Equipment
TRMB,Trimble Inc. Common Stock,$66.58,0.40,0.604%,16656694045.00,United States,1990,383810,Capital Goods,Industrial Machinery/Components
TROW,T. Rowe Price Group Inc. Common Stock,$147.84,0.42,0.285%,33475826187.00,United States,1986,719775,Finance,Investment Bankers/Brokers/Service
TSCO,Tractor Supply Company Common Stock,$146.90,-2.87,-1.916%,17113467179.00,United States,1994,835904,Consumer Services,RETAIL: Building Materials
TSLA,Tesla Inc. Common Stock,$645.98,5.64,0.881%,612324915503.00,United States,2010,33097994,Capital Goods,Auto Manufacturing
TTD,The Trade Desk Inc. Class A Common Stock,$923.99,-47.13,-4.853%,43394538937.00,United States,2016,816105,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,$201.82,-0.04,-0.02%,23231605752.00,United States,1997,684460,Technology,Computer Software: Prepackaged Software
TW,Tradeweb Markets Inc. Class A Common Stock,$64.98,-0.43,-0.657%,14794150018.00,United States,2019,650964,Finance,Investment Bankers/Brokers/Service
TXG,10x Genomics Inc. Class A Common Stock,$148.95,-0.69,-0.461%,16028035392.00,United States,2019,894858,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TXN,Texas Instruments Incorporated Common Stock,$160.98,-1.54,-0.948%,147770324087.00,United States,,2012444,Technology,Semiconductors
UAL,United Airlines Holdings Inc. Common Stock,$44.11,1.14,2.653%,12909336303.00,United States,,15267045,Transportation,Air Freight/Delivery Services
ULTA,Ulta Beauty Inc. Common Stock,$268.46,3.37,1.271%,15124671026.00,United States,2007,578534,Consumer Services,Other Specialty Stores
VIAC,ViacomCBS Inc. Class B Common Stock,$35.95,1.06,3.038%,22189994886.00,United States,,12425122,Consumer Services,Broadcasting
VIACA,ViacomCBS Inc. Class A Common Stock,$37.08,1.13,3.143%,22887482904.00,United States,,60624,Consumer Services,Broadcasting
VOD,Vodafone Group Plc American Depositary Shares,$16.64,0.38,2.337%,44651806002.00,United Kingdom,,2639665,Public Utilities,Telecommunications Equipment
VRSK,Verisk Analytics Inc. Common Stock,$199.97,-1.96,-0.971%,32513081706.00,United States,2009,357470,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,$214.01,-2.33,-1.077%,24420652851.00,United States,1998,288325,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$235.84,0.94,0.40%,61327336921.00,United States,1991,1012928,Health Care,Major Pharmaceuticals
VTRS,Viatris Inc. Common Stock,$17.88,0.14,0.789%,21495410345.00,United States,,6299868,Health Care,Major Pharmaceuticals
WB,Weibo Corporation American Depositary Share,$45.46,-0.48,-1.045%,10294962520.00,China,2014,866217,Technology,Computer Software: Programming Data Processing
WBA,Walgreens Boots Alliance Inc. Common Stock,$39.87,0.60,1.528%,34443765444.00,United States,,4196505,Health Care,Medical/Nursing Services
WDAY,Workday Inc. Class A Common Stock,$248.76,-8.95,-3.473%,59702400000.00,United States,,1638472,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$49.93,0.21,0.422%,15190955097.00,United States,,2683288,Technology,Electronic Components
WISH,ContextLogic Inc.,$20.94,-1.25,-5.633%,14570914121.00,United States,2020,6163093,Consumer Services,Catalog/Specialty Distribution
WIX,Wix.com Ltd. Ordinary Shares,$268.93,-3.26,-1.198%,14963335660.00,Israel,2013,294949,Technology,Computer Software: Programming Data Processing
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,$208.82,-0.80,-0.382%,26918030640.00,United Kingdom,,1233417,Finance,Specialty Insurers
WMG,Warner Music Group Corp. Class A Common Stock,$38.02,0.42,1.117%,19391375350.00,United States,2020,673671,Consumer Services,Services-Misc. Amusement & Recreation
WYNN,Wynn Resorts Limited Common stock,$115.30,2.69,2.389%,12437480411.00,United States,2002,1997037,Consumer Services,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$64.31,-0.52,-0.802%,34553941332.00,United States,,1153192,Public Utilities,Power Generation
XLNX,Xilinx Inc. Common Stock,$141.99,-2.17,-1.505%,34804832597.00,United States,1990,1766404,Technology,Semiconductors
XP,XP Inc. Class A Common Stock,$41.00,0.69,1.712%,22623813366.00,Brazil,2019,870863,Finance,Investment Bankers/Brokers/Service
XRAY,DENTSPLY SIRONA Inc. Common Stock,$51.61,-0.10,-0.193%,11279636917.00,United States,1987,499622,Health Care,Medical/Dental Instruments
YNDX,Yandex N.V. Class A Ordinary Shares,$67.69,0.58,0.864%,23696537490.00,Netherlands,2011,821939,Technology,Computer Software: Programming Data Processing
Z,Zillow Group Inc. Class C Capital Stock,$141.23,0.57,0.405%,32860376861.00,United States,,2212502,Miscellaneous,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$379.74,-0.22,-0.058%,20246372014.00,United States,1991,191070,Technology,Industrial Machinery/Components
ZG,Zillow Group Inc. Class A Common Stock,$145.94,-0.75,-0.511%,33956265659.00,United States,2011,750238,Miscellaneous,Business Services
ZI,ZoomInfo Technologies Inc. Class A Common Stock,$47.29,0.78,1.677%,18410517947.00,United States,2020,2048088,Technology,Computer Software: Prepackaged Software
ZLAB,Zai Lab Limited American Depositary Shares,$134.57,4.07,3.119%,10143282515.00,China,2017,202248,Health Care,Major Pharmaceuticals
ZM,Zoom Video Communications Inc. Class A Common Stock,$383.88,-25.12,-6.142%,109792387122.00,United States,2019,9542992,Technology,Computer Software: Programming Data Processing
ZNGA,Zynga Inc. Class A Common Stock,$9.93,-0.06,-0.601%,10714463069.00,United States,2011,12357122,Technology,EDP Services
ZS,Zscaler Inc. Common Stock,$207.47,0.69,0.334%,27840785194.00,United States,2018,2296788,Technology,EDP Services
